
---------- Begin Simulation Statistics ----------
simSeconds                                   0.176537                       # Number of seconds simulated (Second)
simTicks                                 176537063118                       # Number of ticks simulated (Tick)
finalTick                                176537063118                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1952.35                       # Real time elapsed on the host (Second)
hostTickRate                                 90422647                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                  268783588                       # Number of bytes of host memory used (Byte)
simInsts                                     67408805                       # Number of instructions simulated (Count)
simOps                                      116912226                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    34527                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      59883                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        335621794                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.978901                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.200848                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       264019393                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      159                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      216345596                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  96570                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            147107318                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         294380403                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  98                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           335484302                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.644875                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.196188                       # Number of insts issued each cycle (Count)
system.ruby.network.routers2.port_buffers0.m_stall_time   1060310500                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.network.routers2.port_buffers0.m_avg_stall_time   349.088241                       # Average stall ticks per message ((Tick/Count))
system.ruby.network.routers2.port_buffers0.m_occupancy     0.003652                       # Average occupancy of buffer capacity ((Ratio/Tick))
system.ruby.network.routers2.port_buffers10.m_not_avail_count         1323                       # Number of times this buffer did not have N slots available (Count)
system.ruby.network.routers2.port_buffers10.m_msg_count      1532852                       # Number of messages passed the buffer (Count)
system.ruby.network.routers2.port_buffers10.m_buf_msgs     0.004896                       # Average number of messages in buffer ((Count/Tick))
system.ruby.network.routers2.port_buffers10.m_stall_time     97896000                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.network.routers2.port_buffers10.m_avg_stall_time    63.865266                       # Average stall ticks per message ((Tick/Count))
system.ruby.network.routers2.port_buffers10.m_occupancy     0.001224                       # Average occupancy of buffer capacity ((Ratio/Tick))
system.ruby.network.routers2.port_buffers11.m_not_avail_count         2134                       # Number of times this buffer did not have N slots available (Count)
system.ruby.network.routers2.port_buffers11.m_msg_count      3003772                       # Number of messages passed the buffer (Count)
system.ruby.network.routers2.port_buffers11.m_buf_msgs     0.013802                       # Average number of messages in buffer ((Count/Tick))
system.ruby.network.routers2.port_buffers11.m_stall_time    934723000                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.network.routers2.port_buffers11.m_avg_stall_time   311.183072                       # Average stall ticks per message ((Tick/Count))
system.ruby.network.routers2.port_buffers11.m_occupancy     0.003451                       # Average occupancy of buffer capacity ((Ratio/Tick))
system.ruby.network.routers2.port_buffers16.m_not_avail_count       184840                       # Number of times this buffer did not have N slots available (Count)
system.ruby.network.routers2.port_buffers16.m_msg_count      1588098                       # Number of messages passed the buffer (Count)
system.ruby.network.routers2.port_buffers16.m_buf_msgs     0.014110                       # Average number of messages in buffer ((Count/Tick))
system.ruby.network.routers2.port_buffers16.m_stall_time   1696938500                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.network.routers2.port_buffers16.m_avg_stall_time  1068.535128                       # Average stall ticks per message ((Tick/Count))
system.ruby.network.routers2.port_buffers16.m_occupancy     0.003528                       # Average occupancy of buffer capacity ((Ratio/Tick))
system.ruby.network.routers2.port_buffers18.m_not_avail_count          151                       # Number of times this buffer did not have N slots available (Count)
system.ruby.network.routers2.port_buffers18.m_msg_count       810433                       # Number of messages passed the buffer (Count)
system.ruby.network.routers2.port_buffers18.m_buf_msgs     0.002999                       # Average number of messages in buffer ((Count/Tick))
system.ruby.network.routers2.port_buffers18.m_stall_time    124203000                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.network.routers2.port_buffers18.m_avg_stall_time   153.255112                       # Average stall ticks per message ((Tick/Count))
system.ruby.network.routers2.port_buffers18.m_occupancy     0.000750                       # Average occupancy of buffer capacity ((Ratio/Tick))
system.ruby.network.routers2.port_buffers19.m_not_avail_count       429266                       # Number of times this buffer did not have N slots available (Count)
system.ruby.network.routers2.port_buffers19.m_msg_count      1555330                       # Number of messages passed the buffer (Count)
system.ruby.network.routers2.port_buffers19.m_buf_msgs     0.015847                       # Average number of messages in buffer ((Count/Tick))
system.ruby.network.routers2.port_buffers19.m_stall_time   2019936500                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.network.routers2.port_buffers19.m_avg_stall_time  1298.718921                       # Average stall ticks per message ((Tick/Count))
system.ruby.network.routers2.port_buffers19.m_occupancy     0.003962                       # Average occupancy of buffer capacity ((Ratio/Tick))
system.ruby.network.routers2.port_buffers2.m_not_avail_count       173100                       # Number of times this buffer did not have N slots available (Count)
system.ruby.network.routers2.port_buffers2.m_msg_count      2313711                       # Number of messages passed the buffer (Count)
system.ruby.network.routers2.port_buffers2.m_buf_msgs     0.015399                       # Average number of messages in buffer ((Count/Tick))
system.ruby.network.routers2.port_buffers2.m_stall_time   1561680500                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.network.routers2.port_buffers2.m_avg_stall_time   674.967833                       # Average stall ticks per message ((Tick/Count))
system.ruby.network.routers2.port_buffers2.m_occupancy     0.003850                       # Average occupancy of buffer capacity ((Ratio/Tick))
system.ruby.network.routers2.port_buffers3.m_not_avail_count        45136                       # Number of times this buffer did not have N slots available (Count)
system.ruby.network.routers2.port_buffers3.m_msg_count      3871440                       # Number of messages passed the buffer (Count)
system.ruby.network.routers2.port_buffers3.m_buf_msgs     0.012662                       # Average number of messages in buffer ((Count/Tick))
system.ruby.network.routers2.port_buffers3.m_stall_time    299553500                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.network.routers2.port_buffers3.m_avg_stall_time    77.375214                       # Average stall ticks per message ((Tick/Count))
system.ruby.network.routers2.port_buffers3.m_occupancy     0.003165                       # Average occupancy of buffer capacity ((Ratio/Tick))
system.ruby.network.routers2.port_buffers5.m_msg_count          687                       # Number of messages passed the buffer (Count)
system.ruby.network.routers2.port_buffers5.m_buf_msgs     0.000002                       # Average number of messages in buffer ((Count/Tick))
system.ruby.network.routers2.port_buffers5.m_stall_time          500                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.network.routers2.port_buffers5.m_avg_stall_time     0.727802                       # Average stall ticks per message ((Tick/Count))
system.ruby.network.routers2.port_buffers5.m_occupancy     0.000000                       # Average occupancy of buffer capacity ((Ratio/Tick))
system.ruby.network.routers2.port_buffers6.m_msg_count          906                       # Number of messages passed the buffer (Count)
system.ruby.network.routers2.port_buffers6.m_buf_msgs     0.000003                       # Average number of messages in buffer ((Count/Tick))
system.ruby.network.routers2.port_buffers6.m_stall_time         1500                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.network.routers2.port_buffers6.m_avg_stall_time     1.655629                       # Average stall ticks per message ((Tick/Count))
system.ruby.network.routers2.port_buffers6.m_occupancy     0.000001                       # Average occupancy of buffer capacity ((Ratio/Tick))
system.ruby.network.routers2.port_buffers7.m_msg_count         3454                       # Number of messages passed the buffer (Count)
system.ruby.network.routers2.port_buffers7.m_buf_msgs     0.000015                       # Average number of messages in buffer ((Count/Tick))
system.ruby.network.routers2.port_buffers7.m_stall_time       833000                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.network.routers2.port_buffers7.m_avg_stall_time   241.169658                       # Average stall ticks per message ((Tick/Count))
system.ruby.network.routers2.port_buffers7.m_occupancy     0.000004                       # Average occupancy of buffer capacity ((Ratio/Tick))
system.ruby.network.routers2.port_buffers9.m_msg_count           29                       # Number of messages passed the buffer (Count)
